subset,order_sequence,order_min,order_max,n_obs,distribution,delta_min,delta_max,mu_degree,sigma_degree,nll,rmse,mae,success,message,beta_mu_0,beta_mu_1,beta_sigma_0,beta_sigma_1,beta_sigma_2
order_20,20,20,20,3471,truncated_gaussian,-3.699780994474596,2.5708398149375107,1,2,1.3033704774154102,0.8986751866541487,0.7141813079790785,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-1.6489910599143978,0.5589586596388458,0.19586441763346926,-0.7956171365270203,0.476021748337354
order_21,21,21,21,3152,truncated_gaussian,-3.699780994474596,2.5708398149375107,1,2,1.3216094056689385,0.9143302598378924,0.7155249991809327,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-1.7102909563033115,0.7715975048184057,0.1751994190165992,-0.6842679740974336,0.40439510682612595
order_22,22,22,22,2859,truncated_gaussian,-3.699780994474596,2.5708398149375107,1,2,1.2932311215767585,0.8919109709962345,0.6987370194438298,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-1.6406720810157382,0.7432571827318807,0.20934097655060277,-1.041162825188286,0.728675740181412
order_23,23,23,23,2561,truncated_gaussian,-3.699780994474596,2.5708398149375107,1,2,1.3271664596789823,0.9166538552049437,0.7138966728234855,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-1.603227549090002,0.6804616159616151,0.06534150367980533,-0.4065711595660491,0.2561637046580687
order_24,24,24,24,2291,truncated_gaussian,-3.699780994474596,2.5708398149375107,1,2,1.3329603124460654,0.9300120806258576,0.7135084966430376,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-1.6582458682536527,0.9121901910147661,0.24620601446052248,-1.0442805614827324,0.7321648547900601
order_25,25,25,25,2082,truncated_gaussian,-3.699780994474596,2.5708398149375107,1,2,1.3914077517896792,0.9808224702453924,0.7741465329298652,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-1.7128235015280813,1.0087301346795035,0.18211559291031185,-0.4497070780250188,0.22877494422951225
order_26,26,26,26,1892,truncated_gaussian,-3.699780994474596,2.5708398149375107,1,2,1.4112557944206174,1.0000820472959848,0.7849632182872317,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-1.6681622541962315,1.033370299750212,0.19027224191097258,-0.5243375866975768,0.33852142803886565
order_27,27,27,27,1718,truncated_gaussian,-3.699780994474596,2.5708398149375107,1,2,1.3604947569473218,0.9484610229042506,0.7379093128509856,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-1.607533140595334,0.9983498186186792,0.09244169307769083,-0.43709396272357537,0.2952115608063374
order_28,28,28,28,1552,truncated_gaussian,-3.699780994474596,2.5708398149375107,1,2,1.4175506189084306,1.008348270917027,0.7907759708093023,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-1.6961491612738755,1.0196069980844944,0.17569034548200743,-0.5736663370868238,0.43104429767551705
order_29,29,29,29,1434,truncated_gaussian,-3.699780994474596,2.5708398149375107,1,2,1.4355586012547472,1.025156413752223,0.8250866575330439,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-1.6198179548302796,0.9111409676138527,0.02298593406477367,-0.13082596388964624,0.19236256746572747
