subset,order_sequence,order_min,order_max,n_obs,distribution,delta_min,delta_max,mu_degree,sigma_degree,nll,rmse,mae,success,message,beta_mu_0,beta_mu_1,beta_sigma_0,beta_sigma_1,beta_sigma_2
order_30,30,30,30,6015,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.7922509899932076,0.5557185473010058,0.44653167304603,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.6034201064172249,0.18097044009847554,-0.401628156203753,0.024215489723681122,-0.10251244052443517
order_31,31,31,31,5843,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.7986160126204398,0.5604687161543673,0.4495245483638285,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-0.6010580845663092,0.18458766461725204,-0.41282956967176915,0.047052508394460284,-0.06692470167432885
order_32,32,32,32,5703,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.8033908656377495,0.5641767828197881,0.452450497577799,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-0.5948572788063379,0.17811619630002093,-0.4204796195806441,0.06033074017098918,-0.0351791418187531
order_33,33,33,33,5542,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.8068657893043825,0.5672910581646012,0.4543528142617132,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.5988162503124633,0.19077741377516982,-0.42674132441279583,0.03543811715791939,0.038992006278799965
order_34,34,34,34,5412,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.807109158211393,0.5677603076216173,0.4541847615385252,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.5832064773025972,0.182891310081766,-0.43521392679806736,0.039571287938877965,0.05724905089848102
order_35,35,35,35,5261,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.8063864895214592,0.5672113043251679,0.45427874362648407,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.5850291733718059,0.19126327956582717,-0.41131643540443485,-0.026239602776139535,0.08269923417153997
order_36,36,36,36,5113,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.8057145776643871,0.5666475112154834,0.45423784955260327,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-0.582227739997653,0.17601355229805515,-0.44124156917586127,0.005243319392953631,0.10472656423321125
order_37,37,37,37,4968,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.8028501797176997,0.5643440755446754,0.4507849039520058,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.578493157794184,0.17419421560673085,-0.4452690632196913,-8.146620138689792e-05,0.10028860704002071
order_38,38,38,38,4850,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.8017103562128283,0.5637851261308617,0.44870295763637597,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.5703727388548215,0.1736329844357277,-0.4353344641139493,-0.080778655825462,0.1764559271513755
order_39,39,39,39,4722,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.7982973267888145,0.56116592629166,0.4464404777797037,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.5457229753518706,0.1512515918603337,-0.4602527172540599,-0.010210285080744617,0.12028365423888834
